project_name	publication_year	publication_doi	site_name	lat_lon	geo_loc_name	sample_name	sample_host	cultural_era	sample_age	sample_age_doi	microbiome_type	material	archive	archive_accession
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565 8.84	Germany	B61	Homo sapiens	Medieval			oral	dental calculus	SRA	SRS473742,SRS473743,SRS473744,SRS473745
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565 8.84	Germany	G12	Homo sapiens	Medieval			oral	dental calculus	SRA	SRS473747,SRS473746,SRS473748,SRS473749,SRS473750
Weyrich2017	2017	10.1038/nature21674	Gola Forest	7.657 -10.841	Sierra Leone	Chimp	Pan troglodytes	C20th			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	El Sidrón Cave	43.386 -5.328	Spain	ElSidron1	Homo sapiens neanderthalensis	Middle Palaeolithic			oral	dental calculus	OAGR	3011,2962
Weyrich2017	2017	10.1038/nature21674	El Sidrón Cave	43.386 -5.329	Spain	ElSidron2	Homo sapiens neanderthalensis	Middle Palaeolithic			oral	dental calculus	OAGR	2990,3014
Weyrich2017	2017	10.1038/nature21674	Spy Cave	50.48 4.674	Belgium	Spy1	Homo sapiens neanderthalensis	Upper Palaeolithic			oral	dental calculus	OAGR	2952,2953
Weyrich2017	2017	10.1038/nature21674	Spy Cave	50.48 4.674	Belgium	Spy2	Homo sapiens neanderthalensis	Upper Palaeolithic			oral	dental calculus	OAGR	2935,2989
Weyrich2017	2017	10.1038/nature21674	Dudka	53.96 21.86	Poland	EuroHG1	Homo sapiens				oral	dental calculus	OAGR	3066,3010
Weyrich2017	2017	10.1038/nature21674	Dudka	53.96 21.86	Poland	EuroHG2	Homo sapiens				oral	dental calculus	OAGR	3081,3020
Weyrich2017	2017	10.1038/nature21674	Stuttgart-Mühlhausen I	48.839 9.227	Germany	EuroLBK1	Homo sapiens	Neolithic			oral	dental calculus	OAGR	3080,3071,3083,3084
Weyrich2017	2017	10.1038/nature21674	Stuttgart-Mühlhausen I	48.839 9.227	Germany	EuroLBK2	Homo sapiens	Neolithic			oral	dental calculus	OAGR	2955,2956,3018,3019
Weyrich2017	2017	10.1038/nature21674	Stuttgart-Mühlhausen I	48.839 9.227	Germany	EuroLBK3	Homo sapiens	Neolithic			oral	dental calculus	OAGR	3072,3073,2933,2936
Weyrich2017	2017	10.1038/nature21674	Al Khiday	15.441 32.381	Sudan	Sudan1	Homo sapiens	Neolithic			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Al Khiday	15.441 32.381	Sudan	Sudan2	Homo sapiens	Neolithic			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Near Cape Town	NA NA	South Africa	SouthAfr1	Homo sapiens	Later Stone Age			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Near Cape Town	NA NA	South Africa	SouthAf2	Homo sapiens	Later Stone Age			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Jewbury	53.962 -1.075	United Kingdom	UrbMed1	Homo sapiens	Medieval			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Jewbury	53.962 -1.075	United Kingdom	UrbWar2	Homo sapiens	Medieval			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Near Cape Town	NA NA	South Africa	AfrPP2	Homo sapiens	Neolithic			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Near Cape Town	NA NA	South Africa	AfrPP1	Homo sapiens	Neolithic			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Hettstedt Gymnasium	51.646 11.512	Germany	IndRev1	Homo sapiens	Modern			oral	dental calculus	OAGR	
Weyrich2017	2017	10.1038/nature21674	Hettstedt Gymnasium	51.646 11.512	Germany	IndRev2	Homo sapiens	Modern			oral	dental calculus	OAGR	
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS01	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178232,SAMEA5178280,SAMEA6080407
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS02	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178233,SAMEA5178281,SAMEA6080408
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS03	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178234,SAMEA5178282,SAMEA6080409
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS04	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178235,SAMEA5178283,SAMEA6080410
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS05	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178284,SAMEA6080411
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS06	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178285,SAMEA6080412
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS07	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178236,SAMEA5178286,SAMEA6080413
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS08	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178237,SAMEA5178287,SAMEA6080414
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS09	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178238,SAMEA5178288,SAMEA6080415
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS10	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178239,SAMEA5178289,SAMEA6080416
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS11	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178240,SAMEA5178290,SAMEA6080417
Velsko2018	2018	https://doi.org/10.1186/s40168-019-0717-3	Radcliffe Infirmary	51.752022 -1.257677	United Kingdom	CS12	Homo sapiens	C19th			oral	calculus	ENA	SAMEA5178241,SAMEA5178291,SAMEA6080418
