project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_age	sample_age_doi	material	collection_date	archive	archive_accession
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA1.1	13900	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040659
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA1.12	13900	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040658
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA3.1	13200	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040657
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA4.1	12800	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040656
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA4.12	12800	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040655
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA5.1	12500	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040654
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA6.1	12000	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040653
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA6.12	12000	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040652
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA7.1	11600	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040651
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA7.12	11600	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040650
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA8.1	11000	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040649
Ahmed2018	2018	10.1016/j.quascirev.2017.11.037	Hässeldala Port	56.16	15.01	Sweden	HA8.12	11000	10.1111/bor.12207	lake sediment	2015	ENA	SRS2040648
Rifkin2020	2020	10.1186/s40168-020-00832-x	Bushman Rock Shelter 	-24.746	30.564	South Africa	BRS1	600	10.1186/s40168-020-00832-x	rock shelter	NA	ENA	SRS4491530
Rifkin2020	2020	10.1186/s40168-020-00832-x	Bushman Rock Shelter 	-24.746	30.564	South Africa	BRS5	600	10.1186/s40168-020-00832-x	rock shelter	NA	ENA	SRS4491527
Borry2020	2020	10.7717/peerj.9001	Longford	53.757	-7.394	Ireland	DRL001.A	Mesolithic	10.7717/peerj.9001	midden	NA	ENA	ERS4181278
Borry2020	2020	10.7717/peerj.9001	Cabeço das Amoreiras	38.251	-8.361	Portugal	CBA001.A	Mesolithic	10.7717/peerj.9001	midden	NA	ENA	ERS4181276
Borry2020	2020	10.7717/peerj.9001	Binchester Roman Fort	54.676	-1.677	United Kingdom of Great Britain and Northern Ireland	BRF001.A	Roman	10.7717/peerj.9001	midden	NA	ENA	ERS4181275
Borry2020	2020	10.7717/peerj.9001	Leipzig	51.339	12.373	Germany	LEI010.A	1000	10.7717/peerj.9001	midden	NA	ENA	ERS4181280
Borry2020	2020	10.7717/peerj.9001	El Collado	38.92	-0.119	Spain	ECO004.D	Mesolithic	10.7717/peerj.9001	pelvic sediment	NA	ENA	ERS4181279
Borry2020	2020	10.7717/peerj.9001	Cingle del Mas Nou	40.451	-0.107	Spain	CMN001.D	Mesolithic	10.7717/peerj.9001	pelvic sediment	NA	ENA	ERS4181277
Borry2020	2020	10.7717/peerj.9001	Molpir	48.51	17.423	Slovakia	MLP001.A	2300	10.7717/peerj.9001	pelvic sediment	NA	ENA	ERS4181281
