name	width	height	type	fmtstr	value	expr	aggregators
project_name	19	1			Wibowo2021	0	
publication_year	18	1			2021	1	
data_publication_doi	20	1			10.1038/s41586-021-03532-0	2	
sample_name	20	1			1026.1.4	3	
archive	9	1			SRA	4	
archive_project	17	1			PRJNA561510	5	
archive_sample_accession	20	1			SRS5300639	6	
library_name	20	1			1026.1.4	7	
strand_type	13	1			double	8	
library_polymerase	20	1			KAPA HiFi Uracil+	9	
library_treatment	19	1			unknown	10	
library_concentration	20	1			NA	11	
instrument_model	20	1			Illumina HiSeq 4000	12	
library_layout	16	1			PAIRED	14	
library_strategy		1			WGS	15	
read_count		1			166432626	16	
archive_data_accession		1			SRR12557703	17	
download_links		1			ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/003/SRR12557703/SRR12557703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/003/SRR12557703/SRR12557703_2.fastq.gz	18	
download_md5s		1			263ee048ed42d98e26e778b9d64c59a2;2b33ecd3e03f5b0834af51fa7c72f765	19	
download_sizes		1			9228958266;10081133692	20	
