project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	singlegenome_domain	singlegenome_species	material	genome_type	collection_date	archive	data_type	archive_accession	run_accession	library_layout	fastq_ftp
Schuenemann2013	2013	10.1126/science.1238286	Sigtuna	59.618	17.726	Sweden	3077	Homo sapiens	900	10.1126/science.1238286	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS418834	SRR847038,SRR847039	PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847038/SRR847038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847038/SRR847038_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847039/SRR847039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847039/SRR847039_2.fastq.gz
Schuenemann2013	2013	10.1126/science.1238286	St. Jørgen cemetery, Odense	55.399	10.406	Denmark	Jorgen_625	Homo sapiens	600	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS418854	SRR847050,SRR847051,SRR847052	PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847050/SRR847050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847050/SRR847050_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847051/SRR847051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847051/SRR847051_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847052/SRR847052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847052/SRR847052_2.fastq.gz
Schuenemann2013	2013	10.1126/science.1238286	Refshale	56.193	9.394	Denmark	Refshale_16	Homo sapiens	900	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS419262,SRS418858,SRS418859	SRR847058	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847058/SRR847058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847058/SRR847058_2.fastq.gz
Schuenemann2013	2013	10.1126/science.1238286	St. Mary Magdalene leprosarium, Winchester	51.059	-1.308	United Kingdom	SK2	Homo sapiens	700	10.1126/science.1238286	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS418843	SRR847034	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847034/SRR847034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847034/SRR847034_2.fastq.gz
Schuenemann2013	2013	10.1126/science.1238286	St. Mary Magdalene leprosarium, Winchester	52.059	-1.308	United Kingdom	SK8	Homo sapiens	1000	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS418845	SRR847069,SRR847070	PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847069/SRR847069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847069/SRR847069_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847070/SRR847070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847070/SRR847070_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_404	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574247	ERR1880929,ERR1883819,ERR1883830,ERR1883841,ERR1883842,ERR1883871,ERR1883872,ERR1883895,ERR1884218	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1880929/ERR1880929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1880929/ERR1880929_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883819/ERR1883819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883819/ERR1883819_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883830/ERR1883830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883830/ERR1883830_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883841/ERR1883841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883841/ERR1883841_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883842/ERR1883842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883842/ERR1883842_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883871/ERR1883871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883871/ERR1883871_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883872/ERR1883872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883872/ERR1883872_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883895/ERR1883895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883895/ERR1883895_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1884218/ERR1884218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1884218/ERR1884218_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_427	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574249	ERR1880930,ERR1883820,ERR1883831,ERR1883843,ERR1883844,ERR1883845,ERR1883846,ERR1883873,ERR1883874,ERR1884219	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1880930/ERR1880930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1880930/ERR1880930_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883820/ERR1883820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883820/ERR1883820_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883831/ERR1883831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883831/ERR1883831_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883843/ERR1883843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883843/ERR1883843_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883844/ERR1883844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883844/ERR1883844_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883845/ERR1883845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883845/ERR1883845_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883846/ERR1883846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883846/ERR1883846_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883873/ERR1883873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883873/ERR1883873_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883874/ERR1883874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883874/ERR1883874_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1884219/ERR1884219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1884219/ERR1884219_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_507	Homo sapiens	800	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574253	ERR1880932,ERR1883823,ERR1883833,ERR1883849,ERR1883850,ERR1883877,ERR1883878,ERR1883896,ERR1884221	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1880932/ERR1880932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1880932/ERR1880932_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883823/ERR1883823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883823/ERR1883823_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883833/ERR1883833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883833/ERR1883833_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883849/ERR1883849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883849/ERR1883849_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883850/ERR1883850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883850/ERR1883850_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883877/ERR1883877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883877/ERR1883877_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883878/ERR1883878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883878/ERR1883878_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883896/ERR1883896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883896/ERR1883896_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1884221/ERR1884221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1884221/ERR1884221_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_533	Homo sapiens	800	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574254	ERR1883859,ERR1883879,ERR1883880,ERR1884222,ERR1884223	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883859/ERR1883859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883859/ERR1883859_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883879/ERR1883879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883879/ERR1883879_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883880/ERR1883880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883880/ERR1883880_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1884222/ERR1884222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1884222/ERR1884222_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1884223/ERR1884223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1884223/ERR1884223_2.fastq.gz
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_722	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574259	ERR1883826,ERR1883861,ERR1883885,ERR1883886,ERR1883887,ERR1883888,ERR1884152,ERR1884226	PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED,PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883826/ERR1883826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883826/ERR1883826_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883861/ERR1883861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883861/ERR1883861_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883885/ERR1883885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883885/ERR1883885_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883886/ERR1883886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883886/ERR1883886_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883887/ERR1883887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883887/ERR1883887_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883888/ERR1883888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883888/ERR1883888_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1884152/ERR1884152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1884152/ERR1884152_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1884226/ERR1884226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1884226/ERR1884226_2.fastq.gz
