project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	sample_name	sample_host	sample_age	sample_age_doi	singlegenome_domain	singlegenome_species	material	genome_type	collection_date	archive	data_type	archive_accession
Schuenemann2013	2013	10.1126/science.1238286	Sigtuna	59.618	17.726	Sweden	3077	Homo sapiens	900	10.1126/science.1238286	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS418834
Schuenemann2013	2013	10.1126/science.1238286	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_625	Homo sapiens	600	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS418854
Schuenemann2013	2013	10.1126/science.1238286	Refshale	56.193	9.394	Denmark	Refshale_16	Homo sapiens	900	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS419262,SRS418858,SRS418859
Schuenemann2013	2013	10.1126/science.1238286	St. Mary Magdalene leprosarium, Winchester	51.059	-1.308	United Kingdom	SK2	Homo sapiens	700	10.1126/science.1238286	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS418843
Schuenemann2013	2013	10.1126/science.1238286	St. Mary Magdalene leprosarium, Winchester	52.059	-1.308	United Kingdom	SK8	Homo sapiens	1000	10.1126/science.1238286	bacteria	Mycobacterium leprae	tooth	chromosome	NA	SRA	raw	SRS418845
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_404	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574247
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_427	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574249
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_507	Homo sapiens	800	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574253
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_533	Homo sapiens	800	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574254
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_722	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574259
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Odense St. Jørgen cemetery	55.399	10.406	Denmark	Jorgen_749	Homo sapiens	700	10.1371/journal.ppat.1006997	bacteria	Mycobacterium leprae	tooth	chromosome	NA	ENA	raw	ERS1574262
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Szentes-Kistőke	46.715	20.281	Hungary	SK11	Homo sapiens	1300	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667046
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Necropoli Vicenne Campochiaro	41.564	14.498	Italy	T18	Homo sapiens	1300	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667044
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Prušánky	48.831	16.982	Czech Republic	Body 188	Homo sapiens	1100	10.1016/j.meegid.2015.02.001	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667047
Schuenemann2018	2018	10.1371/journal.ppat.1006997	Great Chesterford	52.063	0.193	United Kingdom	GC96	Homo sapiens	1500	10.1371/journal.pone.0124282	bacteria	Mycobacterium leprae	bone	chromosome	NA	SRA	raw	SRS2667045
Warinner2014	2014	10.1038/ng.2906	Dalheim	51.565	8.84	Germany	G12	Homo sapiens	900	10.1038/ng.2906	bacteria	Tannerella forsythia	tooth	chromosome	NA	SRA	raw	SRS473747,SRS473746,SRS473748,SRS473749,SRS473750
Bos2014	2014	10.1038/nature13591	El Yaral	-17.41	-71.092	Peru	64	Homo sapiens	900	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS592075
Bos2014	2014	10.1038/nature13591	El Algodonal	-17.583	-71.21	Peru	58	Homo sapiens	1000	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS591992
Bos2014	2014	10.1038/nature13591	Chiribaya Alta	-17.621	-71.269	Peru	54	Homo sapiens	900	10.1038/nature13591	bacteria	Mycobacterium pinnipedii	bone	chromosome	NA	SRA	raw	SRS591994
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Rasshevatskiy	45.569	41.03	Russia	RK1001	Homo sapiens	4200	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892069
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Beli Manastir-Popova zemlja	45.77	18.61	Croatia	GEN72	Homo sapiens	4200	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892068
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Gyvakarai	55.913	24.89	Lithuania	Gyvakarai1	Homo sapiens	4000	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892064
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Kunila	58.616	23.796	Estonia	KunilaII	Homo sapiens	4000	10.1016/j.cub.2017.10.025	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892065
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Haunstetten Unterer Talweg 85	48.318	10.891	Germany	1343UnTal85	Homo sapiens	3800	10.1371/journal.pone.0139705	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892067
AndradesValtuena2017	2017	10.1016/j.cub.2017.10.025	Haunstetten Postillionstrasse 6	48.308	10.893	Germany	6Post	Homo sapiens	3600	10.1371/journal.pone.0139705	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS1892066
Spyrou2018	2018	10.1038/s41467-018-04550-9	Mikhailovsky II burial site	53.2	50.2	Russia	RT5	Homo sapiens	3500	10.1038/s41467-018-04550-9	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2106903
Spyrou2018	2018	10.1038/s41467-018-04550-9	Mikhailovsky II burial site	53.2	50.2	Russia	RT6	Homo sapiens	3500	10.1038/s41467-018-04550-9	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS2106904
Rascovan2019	2019	10.1016/j.cell.2018.11.005	Gökhem 94:1, Frälsegården	58.173	13.407	Sweden	Gok2	Homo sapiens	4400	10.1016/j.cell.2018.11.005	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS434180
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Sope	59.408	27.026	Estonia	RISE00 	Homo sapiens	4000	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848971
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Chociwel	50.796	17.094	Poland	RISE139 	Homo sapiens	3600	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848972
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Bulanovo	52.453	55.16	Russia	RISE386 	Homo sapiens	3800	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848973
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Kapan	39.2	46.4	Armenia	RISE397 	Homo sapiens	2800	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848974
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Kytmanovo	53.456	85.447	Russia	RISE505 	Homo sapiens	3400	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848975
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Bateni	54.584	90.775	Russia	RISE509 	Homo sapiens	4200	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848976
Rasmussen2015	2015	10.1016/j.cell.2015.10.009	Bateni	54.584	90.775	Russia	RISE511 	Homo sapiens	2900	10.1038/nature14507	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS848977
Yu2020	2020	10.1016/j.cell.2020.04.037	Glazkovskoe Predmestie Site	52.279	104.251	Russia	GLZ001	Homo sapiens	4300	10.1016/j.cell.2020.04.037	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS4540520
Yu2020	2020	10.1016/j.cell.2020.04.037	Glazkovskoe Predmestie Site	52.279	104.251	Russia	GLZ002	Homo sapiens	4400	10.1016/j.cell.2020.04.037	bacteria	Yersinia pestis	tooth	chromosome	NA	ENA	raw	ERS4540521
Devault2017	2017	10.7554/eLife.20983	Troy	39.953	26.236	Turkey	Nod1	Homo sapiens	800	10.7554/eLife.20983	bacteria	Gardnerella vaginalis	calcified nodule	chromosome	NA	SRA	raw	SRS1779841,SRS1779840
Devault2017	2017	10.7554/eLife.20983	Troy	39.953	26.236	Turkey	Nod1	Homo sapiens	800	10.7554/eLife.20983	bacteria	Staphylococcus saprophyticus	calcified nodule	chromosome	NA	SRA	raw	SRS1779841,SRS1779840
Devault2017	2017	10.7554/eLife.20983	Troy	39.953	26.236	Turkey	Nod2	Homo sapiens	800	10.7554/eLife.20983	bacteria	Gardnerella vaginalis	calcified nodule	chromosome	NA	SRA	raw	SRS1779846,SRS1779844
