project_name	publication_doi	sample_name	archive	archive_accession	secondary_sample_accession	study_accession	sample_alias	sample_title	experiment_accession	experiment_title	center_name	instrument_platform	instrument_model	library_name	library_construction_protocol	library_design_description	library_source	library_selection	library_strategy	library_layout	nominal_length	run_accession	read_count	fastq_ftp	fastq_aspera	fastq_md5	fastq_bytes
Schuenemann2013	10.1126/science.1238286	3077	SRA	SRS418834	SRS418834	PRJNA200950	3077	Generic sample from Ancient metagenome sample	SRX275526	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample 3077-sequencing	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847038	6029646	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847038/SRR847038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847038/SRR847038_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847038/SRR847038_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847038/SRR847038_2.fastq.gz	c7f4afe2ce16e0a5ed0914e3f87bf3fe;6febef9156f22a43e03a38fa57f61f0e	358983105;357900019
Schuenemann2013	10.1126/science.1238286	3077	SRA	SRS418834	SRS418834	PRJNA200950	3077	Generic sample from Ancient metagenome sample	SRX275525	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample 3077-screening	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847039	1248819	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847039/SRR847039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847039/SRR847039_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847039/SRR847039_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847039/SRR847039_2.fastq.gz	a02b76b36e373e3ad75cd8756b642a51;9963f2312c4b5993afc5fe8909f3690b	127011694;121289887
Schuenemann2013	10.1126/science.1238286	Jorgen_625	SRA	SRS418854	SRS418854	PRJNA200950	Jorgen_625	Generic sample from Ancient metagenome sample	SRX275548	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Jorgen_625-short	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847050	6751711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847050/SRR847050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847050/SRR847050_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847050/SRR847050_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847050/SRR847050_2.fastq.gz	746573e0c9ea6891648b68ec6bc7cdd4;27f1ee15d57f7093f5476eefd7a4d6c4	745159863;732559016
Schuenemann2013	10.1126/science.1238286	Jorgen_625	SRA	SRS418854	SRS418854	PRJNA200950	Jorgen_625	Generic sample from Ancient metagenome sample	SRX275547	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Jorgen_625-screening	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847051	3135120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847051/SRR847051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847051/SRR847051_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847051/SRR847051_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847051/SRR847051_2.fastq.gz	bbade4f6a68c7443d9b6796ba5818f91;64276958d4c32282eed3feafff8a80cf	308505941;311503998
Schuenemann2013	10.1126/science.1238286	Jorgen_625	SRA	SRS418854	SRS418854	PRJNA200950	Jorgen_625	Generic sample from Ancient metagenome sample	SRX275549	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Jorgen_625-long	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847052	15101591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847052/SRR847052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847052/SRR847052_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847052/SRR847052_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847052/SRR847052_2.fastq.gz	aa344403a2d45f0f2efd0c16f6dd84ea;d98e6a7731d856ae65e9ae3dc32fe236	1955448250;2141400735
Schuenemann2013	10.1126/science.1238286	Refshale_16	SRA	SRS419262,SRS418858,SRS418859	SRS419262	PRJNA200950	Refshale_16_Kiel	Generic sample from Ancient metagenome sample	SRX276068	Illumina HiSeq 2000 sequencing; Medieval and modern mycobacterium leprae: Sample Refshale_16_Kiel	University of Tuebingen	ILLUMINA	Illumina HiSeq 2000	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847702	42303966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847702/SRR847702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847702/SRR847702_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847702/SRR847702_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847702/SRR847702_2.fastq.gz	2c5b2ed84194b342a1717a79acc5c24c;3fef02d1130eca7b7da4de7d7f0b3f12	3536313137;3672101405
Schuenemann2013	10.1126/science.1238286	Refshale_16	SRA	SRS419262,SRS418858,SRS418859	SRS418858	PRJNA200950	Refshale_16(tooth)	Generic sample from Ancient metagenome sample	SRX275554	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Refshale_16(tooth)-sequencing	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847056	39915365	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847056/SRR847056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847056/SRR847056_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847056/SRR847056_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847056/SRR847056_2.fastq.gz	e6e40001a238667d03a757225438c8e3;90474cb8fcbfe35c08f2ff100eedec8d	2472497908;2598198443
Schuenemann2013	10.1126/science.1238286	Refshale_16	SRA	SRS419262,SRS418858,SRS418859	SRS418858	PRJNA200950	Refshale_16(tooth)	Generic sample from Ancient metagenome sample	SRX275553	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Refshale_16(tooth)-screening	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847057	475522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847057/SRR847057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847057/SRR847057_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847057/SRR847057_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847057/SRR847057_2.fastq.gz	4ca488a5dbd2d656e84f147cb9ffaf06;3efcc973b5194d04853e7cf048b1f7c8	51170667;52124042
Schuenemann2013	10.1126/science.1238286	Refshale_16	SRA	SRS419262,SRS418858,SRS418859	SRS418859	PRJNA200950	Refshale_16(bone)	Generic sample from Ancient metagenome sample	SRX275555	Illumina MiSeq sequencing; Medieval and modern mycobacterium leprae: Sample Refshale_16(bone)	University of Tuebingen	ILLUMINA	Illumina MiSeq	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847058	156781	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847058/SRR847058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847058/SRR847058_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847058/SRR847058_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847058/SRR847058_2.fastq.gz	265a9172d8e44f33c3b967f7bae1fe3b;20d54dc3538fdd1508a0036b3f673ec1	15944896;15484326
Schuenemann2013	10.1126/science.1238286	SK2	SRA	SRS418843	SRS418843	PRJNA200950	SK2	Generic sample from Ancient metagenome sample	SRX275535	Illumina HiSeq 2000 sequencing; Medieval and modern mycobacterium leprae: Sample SK2	University of Tuebingen	ILLUMINA	Illumina HiSeq 2000	NA	NA	NA	METAGENOMIC	other	OTHER	PAIRED	NA	SRR847034	54243849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847034/SRR847034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR847/SRR847034/SRR847034_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847034/SRR847034_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR847/SRR847034/SRR847034_2.fastq.gz	e01efceb030fda4914f05accb3b269c1;6803dda5c2bc13075ecbf0b5bd1e7472	3973365718;4085569371
