Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Ardelean2020	10.1038/s41586-020-2509-0	UE1208_Mex_60	ERS4921377	ERR4426528	Missing: Have variant of UE1208 already, Layer 1208 is deep (Fig 1)
Environment	Ardelean2020	10.1038/s41586-020-2509-0	UE1215_Mex_57	ERS4921393	ERR4426544	Missing: Have variant of UE1215 already, Layer UE1215 is deep (Fig 1)
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601045	ERR1883738	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601046	ERR1883739	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601047	ERR1883740	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601048	ERR1883741	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601049	ERR1883742	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601050	ERR1883743	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601051	ERR1883744	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601020	ERR1883713	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601021	ERR1883714	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601022	ERR1883715	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601023	ERR1883716	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601024	ERR1883717	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601025	ERR1883718	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601026	ERR1883719	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601070	ERR1883763	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601071	ERR1883764	Remove:CAPTUREDATA
