Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession
Environment	Ardelean2020	10.1038/s41586-020-2509-0	UE1208_Mex_60	ERS4921377	ERR4426528
Environment	Ardelean2020	10.1038/s41586-020-2509-0	UE1215_Mex_57	ERS4921393	ERR4426544
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601045	ERR1883738
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601046	ERR1883739
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601047	ERR1883740
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601048	ERR1883741
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601049	ERR1883742
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601050	ERR1883743
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601051	ERR1883744
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601020	ERR1883713
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601021	ERR1883714
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601022	ERR1883715
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601023	ERR1883716
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601024	ERR1883717
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601025	ERR1883718
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601026	ERR1883719
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601070	ERR1883763
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601071	ERR1883764
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601072	ERR1883765
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601073	ERR1883766
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601074	ERR1883767
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601075	ERR1883768
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601076	ERR1883769
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601083	ERR1883776
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601084	ERR1883777
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601085	ERR1883778
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601086	ERR1883779
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601087	ERR1883780
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601088	ERR1883781
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601089	ERR1883782
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601027	ERR1883720
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601028	ERR1883721
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601029	ERR1883722
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601030	ERR1883723
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601031	ERR1883724
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1601032	ERR1883725
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601090	ERR1883783
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601091	ERR1883784
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601092	ERR1883785
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601093	ERR1883786
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1601094	ERR1883787
