Table	project_name	publication_doi	sample_name	archive_accession
HostAssociatedMetagenome	Bieker2020	10.1111/1755-0998.13174	USNH-39	ERS3882395
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	GBVPK	ERS5359147
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	GBVPL	ERS5359148
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	GBVPO	ERS5359149
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	MAS15	ERS5359150
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQCC	ERS5359137
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQEE	ERS5359139
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQFF	ERS5359140
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQHH	ERS5359142
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQV	ERS5359141
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	ROUQW	ERS5359138
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	TORTC	ERS5359143
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	TORTD	ERS5359144
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	TORTE	ERS5359145
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	TORTF	ERS5359146
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	1H04	ERS5359126
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	1H06	ERS5359127
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	1H07	ERS5359128
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	1H13	ERS5359129
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	1H14	ERS5359130
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	2H06	ERS5359131
HostAssociatedMetagenome	SeguinOrlando2021	10.1016/j.cub.2020.12.015	2H07	ERS5359132
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	AJ9	ERS6256708
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CL2	ERS6256709
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT10 / GC 2	ERS6256720
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT11 / GC 66	ERS6256721
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT13 / GC 74	ERS6256722
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT17 / GC 67	ERS6256723
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT2 / GC 36 A	ERS6256714
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT4 / GC 61 L	ERS6256716
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT5 / GC 59	ERS6256717
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT7 / GC 65	ERS6256718
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	CT8 / GC 10 H	ERS6256719
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	H53	ERS6256699
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	H64	ERS6256700
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	HV16	ERS6256705
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	HV29	ERS6256706
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG10b / AC IX BB	ERS6256727
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG20b / AQ 1 ZAM	ERS6256728
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG21a / AQ 1 RICH	ERS6256729
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG3b / AC T1 Tinè	ERS6256724
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG7b / AC V BB	ERS6256725
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LG8b / AC VII BB	ERS6256726
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LV20	ERS6256687
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LV29	ERS6256688
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LV32a	ERS6256689
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LV50	ERS6256690
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	LV8	ERS6256686
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD12	ERS6256692
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD16	ERS6256693
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD18B	ERS6256711
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD20	ERS6256694
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD25	ERS6256695
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD26	ERS6256696
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD30	ERS6256697
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	PAD9	ERS6256691
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	SC13	ERS6256713
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	SC2	ERS6256712
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VK1	ERS6256707
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VL43	ERS6256701
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VL44	ERS6256698
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VL45	ERS6256702
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VL48	ERS6256703
HostAssociatedMetagenome	Ottoni2021	10.1073/pnas.2102116118	VL70	ERS6256704
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA66	ERS2484289
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA337	ERS2484292
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK477	ERS2484298
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	RISE569	ERS2484294
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	NEO105	ERS2484293
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA251	ERS2484290
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK6	ERS2484295
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK154	ERS2484297
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK143	ERS2484296
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA336	ERS2484291
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF73	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF74	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF20	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC7	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC16	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC12	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC4	10.5061/dryad.7mv7v
HostAssociatedSingle	Worobey2016	10.1038/nature19827	Patient0 (PZconservative040513)	10.5061/dryad.7mv7v
HostAssociatedSingle	Schuenemann2011	10.1073/pnas.1105107108	ES 1-5	HE576986
HostAssociatedSingle	Duggan2020	10.1186/s13059-020-02079-z	VK01	SRS5298897
HostAssociatedSingle	Duggan2020	10.1186/s13059-020-02079-z	VK02	SRS5298896
HostAssociatedSingle	Duggan2020	10.1186/s13059-020-02079-z	VK05	SRS5298895
HostAssociatedSingle	Duggan2020	10.1186/s13059-020-02079-z	VK08	SRS5298894
HostAssociatedSingle	Duggan2020	10.1186/s13059-020-02079-z	VK12	SRS5298893
HostAssociatedSingle	Campos2021	10.1371/journal.ppat.1009714	MAU 0015151 / HERB_1937	SRR12792042
